laufkont laufzeit moral verw hoehe sparkont beszeit rate famges buerge wohnzeit verm alter weitkred wohn bishkred beruf pers telef gastarb
2 24 4 0 3878 2 2 4 1 1 2 3 37 3 2 1 3 2 2 2
4 36 2 2 10974 1 1 4 2 1 2 3 26 3 2 2 4 2 2 2
2 30 2 2 3832 1 2 2 4 1 1 2 22 3 2 1 3 2 1 2
4 36 2 2 3349 1 3 4 2 1 2 3 28 3 2 1 4 2 2 2
4 15 2 0 3186 4 4 2 2 1 3 3 20 3 1 1 3 2 1 2
4 36 4 2 7127 1 2 2 2 1 4 2 23 3 1 2 3 2 2 2
2 24 2 3 2896 2 2 2 3 1 1 3 29 3 2 1 3 2 1 2
4 24 2 3 5943 5 2 1 2 1 1 3 44 3 2 2 3 2 2 2
2 24 3 9 6967 2 4 4 3 1 4 3 36 3 1 1 4 2 2 2
4 36 2 6 1819 1 3 4 3 1 4 4 37 2 3 1 3 2 2 2
3 42 4 1 4796 1 5 4 3 1 4 4 56 3 3 1 3 2 1 2
1 18 2 0 1216 1 2 4 2 1 3 3 23 3 1 1 3 2 2 2

